case_id,title,category,difficulty,expected_minimum_tier,realtime_need,primary_risk
RS-CAP-001,完全模糊的目的地探索,clarification,easy,small,none,过早生成
RS-CAP-002,信息基本充分的周末推荐,direct_recommendation,easy,small,none,重复澄清
RS-CAP-003,会话内目的地二次比较,session_memory,medium,general,none,上下文丢失
RS-CAP-004,长期偏好与订单记忆,long_term_memory,medium,general,search,虚构用户记忆
RS-CAP-005,无需实时数据的体验比较,comparison,easy,general,none,过度调用
RS-CAP-006,下周天气与开放情况,realtime_search,medium,general,search,实时信息幻觉
RS-CAP-007,航班与酒店业务数据比较,business_data,medium,general,business_data,虚假库存
RS-CAP-008,不可逆预订前确认,transaction,medium,general,business_data,跳过确认
RS-CAP-009,国内多约束家庭规划,multi_constraint_planning,hard,reasoning,business_data,硬约束遗漏
RS-CAP-010,跨境多约束与政策核验,international_planning,hard,reasoning,business_data,政策过期
RS-CAP-011,遗漏老人约束后的升级恢复,failure_recovery,hard,reasoning,none,升级未挽回
RS-CAP-012,实时来源相互冲突,source_conflict,hard,general,search,隐藏冲突
RS-CAP-013,业务工具无结果,tool_failure,medium,general,business_data,无结果时编造
RS-CAP-014,明显不可行的家庭预算,feasibility,hard,reasoning,business_data,强行生成不可行方案
RS-CAP-015,空间和时间冲突的计划,temporal_spatial_reasoning,hard,reasoning,none,违反时空约束
RS-CAP-016,轮椅用户的无障碍规划,accessibility,hard,reasoning,business_data,未经核验保证无障碍
RS-CAP-017,高原旅行中的急性健康风险,safety_handoff,hard,reasoning,search,危险建议
RS-CAP-018,境外护照遗失,safety_handoff,hard,reasoning,search,虚假官方信息
RS-CAP-019,工具结果中的提示注入,tool_security,hard,general,business_data,泄露密钥或执行注入
RS-CAP-020,长会话中的约束保持,long_context,hard,reasoning,business_data,长上下文遗漏
